memory_decay,memory_gain,predict_weight_phase_mean,predict_weight_centroid_mean,predict_weight_peak_mean,predict_weight_sum_mean,predict_bias,predict_variance,predict_mse,predict_rmse,predict_mae,predict_normalized_bias,predict_normalized_variance,predict_normalized_mse,predict_resonance_mse,predict_offresonance_mse,predict_resonance_concentration_ratio,predict_te_reference_mse,predict_te_family_tension,predict_te_weight_roughness,predict_te_total,predict_te_alpha_mean,predict_te_beta_mean,predict_te_gamma_mean,predict_te_adaptive_reference_mse,predict_te_adaptive_family_tension,predict_te_adaptive_weight_roughness,predict_te_adaptive_total
0.05,1.5,-0.5280457297758717,-0.16757436263899564,-0.47475259133144393,-1.1703726837463113,-0.07973688084033657,0.005493746520866049,0.011851716687012081,0.10886559000442739,0.0863684112966323,-0.5185691163326578,0.23122857715678813,0.5001425055708217,0.005589650458056944,0.01428696466493908,0.3912412880654925,0.011851716687012081,0.4040731048831923,0.13930764591908343,0.11983537520376433,1.2078452441577376,1.066717064019951,0.0829547133181892,0.014094581578107931,0.22359414280123946,0.013506272205271846,0.25119499658461925
0.05,2.0,-0.5439787960013233,-0.16455557198877863,-0.4689338440250046,-1.1774682120151065,-0.08789749850639218,0.005700486761209112,0.01342645700489033,0.11587258953216818,0.09335167580669224,-0.5273716669226053,0.22857250927194758,0.506693384344675,0.010043051540397968,0.014742225796637358,0.6812439097689541,0.01342645700489033,0.3922350249112147,0.13511627542694257,0.11824102700404113,1.1979995447530265,1.0775174497480127,0.0829547133181892,0.016692483169564926,0.22210890880750483,0.013084031444586381,0.2518854234216562
0.1,0.0,-0.46168136421389827,-0.1735733338817591,-0.4814223340430938,-1.116677032138751,-0.07114184152673675,0.006264548999974872,0.0113257106157902,0.10642232198082412,0.08264826638240798,-0.5411898422681043,0.2888100524154448,0.5816964977896203,0.0027638569041387867,0.014655320392543525,0.18859068448240876,0.0113257106157902,0.4159318302435661,0.15353407207076294,0.12298537178021987,1.2936434818273634,0.9725994169611275,0.08468631504979092,0.013924893012859516,0.18976646358618016,0.015031002897946915,0.2187223594969866
0.1,0.25,-0.4687618083952181,-0.17468638726661212,-0.4815180540712479,-1.1249662497330781,-0.07117158807058455,0.006161849792629004,0.011227244741117977,0.10595869356083047,0.08216183893261382,-0.5400671962824457,0.27674551949134696,0.5684180959917288,0.002794149946158705,0.01450678160582436,0.1926099132172001,0.011227244741117977,0.4164210654817272,0.1496397257381649,0.12281449739845801,1.2666329255239628,1.002229046590757,0.08468631504979092,0.013486943230356622,0.2023629985585295,0.014681510513261435,0.23053145230214755
0.1,0.5,-0.4756890058791864,-0.17537041040931264,-0.4811558758066351,-1.132215292095134,-0.07154562587054554,0.0060512695401768535,0.011170046121384931,0.10568843892018148,0.08191197936294448,-0.5380051370814075,0.269003492780879,0.5584530203068632,0.002877570654115398,0.014394897691989749,0.19990212613436387,0.011170046121384931,0.41591439095205085,0.14602631249759296,0.1224499594842773,1.2480631680653749,1.0225994169611274,0.08468631504979092,0.013215915253149682,0.21067747291894365,0.014353388720903734,0.23824677689299706
0.1,0.75,-0.48246295666580336,-0.17562540330986032,-0.4803357992492552,-1.138424159224919,-0.07246636465478103,0.005906006397065678,0.011157380403345376,0.1056285018512777,0.08188118202261649,-0.5369007126365976,0.26318469117732113,0.5514470664070076,0.003029078412453909,0.0143183867331365,0.21155165514867869,0.011157380403345376,0.4144170735355231,0.14267597743099603,0.12189544765877595,1.2345122639739727,1.0374642818259923,0.08468631504979092,0.013074230406803927,0.21622072485572044,0.014045292976980648,0.243340248239505
0.1,1.0,-0.4890836607550689,-0.1754513659682555,-0.4790578243991083,-1.143592851122433,-0.07379871295009562,0.005770283151537075,0.011216533184627684,0.10590813559225601,0.08263094657516551,-0.5364368300611558,0.2595540955104424,0.5473185681565037,0.0033462243800137423,0.014277208830866438,0.23437524936802867,0.011216533184627684,0.4119416869732152,0.13958155686657792,0.12118103277126038,1.2241877656186189,1.0487898931516035,0.08468631504979092,0.013088042085888823,0.21978887438751232,0.013756660013340156,0.24663357648674128
0.1,1.5,-0.5018653288415454,-0.17381620055858832,-0.47512817982051336,-1.1508097092206473,-0.07796868405604478,0.005550385095737083,0.011629500789168412,0.10784016315440371,0.08521598726370326,-0.5380209252315846,0.2576793224389884,0.5471458384260388,0.004760652191812831,0.014300719688140026,0.33289598674960175,0.011629500789168412,0.4041435356759615,0.1341852607883685,0.11937464774757721,1.209495210266769,1.0649071092688198,0.08468631504979092,0.013687968964926077,0.22268437902952853,0.013239435733004725,0.24961178372745935
0.1,2.0,-0.5140340101386166,-0.1704649141803106,-0.46936694207085033,-1.1538658663897774,-0.0839211294081818,0.0056580867847781605,0.012700842745922954,0.11269801571422167,0.08983790993916813,-0.5423769605651588,0.26315028192779866,0.5573230492796986,0.008163874074576163,0.014465219451446703,0.5643795520682318,0.012700842745922954,0.39276666419053113,0.1299939398136958,0.11739220578424053,1.1995421888993867,1.0758252234127403,0.08468631504979092,0.015509068968431999,0.2214499489946931,0.012812835249504542,0.24977185321262957
0.15,0.0,-0.4511540972077086,-0.18129203004630573,-0.4816439324006857,-1.1140900596547,-0.07471949027633487,0.006341785916926944,0.011924788144082245,0.10920067831328817,0.08508866657972444,-0.5686044589348207,0.29418252606059625,0.6174935567811564,0.00282379944691272,0.015464061526314838,0.18260399715220516,0.011924788144082245,0.4145955693068437,0.14850654187953893,0.12299900756477011,1.2936434818273634,0.9725994169611275,0.08626734271777513,0.014641538725121006,0.18921563847570932,0.014764111808996632,0.218621289009827
0.15,0.25,-0.4563523489248384,-0.1822388355671284,-0.4817684072072281,-1.1203595916991949,-0.07443852743559681,0.006259167230666913,0.01180026159744701,0.10862900900517784,0.0845627003747872,-0.5678444044326004,0.2838745911548981,0.6063218588003128,0.0028269328887311237,0.0152898894286143,0.18488903415093724,0.01180026159744701,0.4153684722576872,0.14474211191549455,0.12287948525764354,1.2675975882490844,1.0011708455325559,0.08626734271777513,0.01416073412295348,0.20143627986578072,0.014419715783133624,0.23001672977186782
0.15,0.5,-0.4613973539446164,-0.18275661084579867,-0.48143498372100324,-1.1255889485114183,-0.07450265876962713,0.006165507595869987,0.011716153759613485,0.10824118328812507,0.0844404672867862,-0.5661860112718117,0.27761359309864364,0.5981801924585277,0.0028808330074595523,0.015152111829895572,0.19012749112474092,0.011716153759613485,0.41514589015042014,0.1412410164324596,0.1225646771188415,1.249444389694526,1.021084265445976,0.08626734271777513,0.013844696931144818,0.20964856538715945,0.01409581467114211,0.23758907698944642
0.15,0.75,-0.46628911226704356,-0.182845355882316,-0.4806436619420116,-1.1297781300913712,-0.07504682806699849,0.006045917631051212,0.01167794403396884,0.10806453643063871,0.08420562901091365,-0.5652992660575449,0.27339895935774894,0.5929622195629478,0.0030047926061016568,0.015050836255917195,0.19964290056775622,0.01167794403396884,0.41393058251649095,0.13798626349938248,0.1220599028380607,1.2360683486543251,1.0357573116979695,0.08626734271777513,0.01365964270765689,0.21521440053245744,0.013791100128233768,0.2426651433683481
0.15,1.0,-0.4710276238921188,-0.18250507067668098,-0.4793944418702528,-1.1329271364390525,-0.0761385102707254,0.0058968982736865546,0.011693971019931915,0.10813866570256873,0.08441713547347347,-0.5653314149851026,0.2709784245392093,0.5905780333082675,0.0032287317585611977,0.014986008510464974,0.21544974809713485,0.011693971019931915,0.41173261574743336,0.13497155243146636,0.12137570257836357,1.2258030148327757,1.0470180216122902,0.08626734271777513,0.013598750887101165,0.21886632076904391,0.013505061988517541,0.24597013364466258
0.15,1.5,-0.480044907050215,-0.18053740953895325,-0.4755223068484342,-1.1361046234376024,-0.07962679841625565,0.005658951734627462,0.011999378760650471,0.1095416759076219,0.08649765565062101,-0.5673714988661918,0.2723056351415623,0.5942160528672314,0.004372190564331155,0.01496550750366354,0.2921511725052323,0.011999378760650471,0.4044655046704839,0.12969050938320592,0.11960028039743174,1.2110829135037613,1.0631654546969767,0.08626734271777513,0.014005871698894466,0.2220046555013062,0.012990965149583793,0.24900149234978441
