memory_decay,memory_gain,baseline_predict_te_adaptive_total,baseline_predict_te_adaptive_reference_mse,baseline_predict_te_adaptive_family_tension,baseline_predict_te_adaptive_weight_roughness,robust_te_adaptive_total_mean,robust_te_adaptive_total_std,robust_te_adaptive_reference_mse_mean,robust_te_adaptive_family_tension_mean,robust_te_adaptive_weight_roughness_mean,robust_rmse_mean,robust_rmse_std,robust_bias_mean,robust_weight_phase_mean,robust_weight_centroid_mean,robust_weight_peak_mean,robust_te_ratio_mean,robust_te_ratio_std,local_band_survival_rate,global_band_survival_rate
0.15,0.5,0.23758907698944642,0.013844696931144818,0.20964856538715945,0.01409581467114211,0.237250424130688,0.00976220774708171,0.0159502447357416,0.20669161368033614,0.014608565714610286,0.11367640479354318,0.005598512547086092,-0.07814098897595832,-0.4607138136389563,-0.18058040758224636,-0.4789899460620708,0.9985746278278044,0.04108862187934397,0.75,1.0
0.15,0.75,0.2426651433683481,0.01365964270765689,0.21521440053245744,0.013791100128233768,0.24387571909942304,0.0071070376859617024,0.01574239765544667,0.21372078237804173,0.014412539065934635,0.11398576391429843,0.004006536222156749,-0.0783179518553434,-0.464755642285869,-0.18423211777687068,-0.4797022154165494,1.0049886675699335,0.029287427058173464,0.9583333333333334,1.0
0.15,1.0,0.24597013364466258,0.013598750887101165,0.21886632076904391,0.013505061988517541,0.24380965949037856,0.007960762297050587,0.016015783606340126,0.21350010242590692,0.014293773458131495,0.11449143519765087,0.005365605225881448,-0.08099672110130024,-0.4667526272089139,-0.17824462322934842,-0.47772860048863147,0.9912165183541953,0.03236475168384059,0.7916666666666666,1.0
0.15,1.5,0.24900149234978441,0.014005871698894466,0.2220046555013062,0.012990965149583793,0.24995661642343125,0.006598825088763531,0.0172030997527146,0.21904504847328612,0.013708468197430523,0.11757745266514026,0.005941732589527544,-0.08347891677291114,-0.48069224027052715,-0.17827629220495966,-0.4757895892309068,1.0038358166637216,0.026501146746116054,0.9583333333333334,0.9583333333333334
0.15,2.0,0.24905938678265227,0.015458413163269714,0.22103556721422415,0.012565406405158462,0.24704766195137753,0.005513368959922861,0.01784593182113201,0.21589239459830667,0.013309335531938886,0.11939835671665305,0.0061473474504131565,-0.08961326761294874,-0.4859080686949946,-0.17519529355386124,-0.4676990568941593,0.9919227102529153,0.022136764372323113,0.9583333333333334,1.0
0.2,0.0,0.21855327348451806,0.01525887627232264,0.18878770852296556,0.014506688689229854,0.21933724891322048,0.006535767038668849,0.01710199881004335,0.18679079112164984,0.015444458981527314,0.11633214566595074,0.004317781551907278,-0.0807600541746839,-0.4462403430398574,-0.18829761737264458,-0.4796795978256374,1.0035871136414618,0.02990468609536444,0.8333333333333334,0.7916666666666666
0.2,0.25,0.2296179066156592,0.01477373217505297,0.2006748378209336,0.014169336619672618,0.23122996336357382,0.009240189870861653,0.017630159790232143,0.1987056789890517,0.01489412458428995,0.11845864655603207,0.004994669869057513,-0.08024937563949962,-0.44712162939303607,-0.19024169375179137,-0.4801012635912116,1.0070206055428113,0.040241590941459716,0.8333333333333334,0.9166666666666666
0.2,0.5,0.23710413574716804,0.014451827282678837,0.20880071235971503,0.013851596104774148,0.23845775484632012,0.008205527868373468,0.017156995457759318,0.20665358462039193,0.014647174768168847,0.11779498418836047,0.003700501802729339,-0.07965118616989642,-0.44914115954241823,-0.19218600959071339,-0.4818990648579879,1.005708964522641,0.03460727432069464,0.7916666666666666,1.0
0.2,0.75,0.24220454918677106,0.014255988761974427,0.21439636057210748,0.013552199852689151,0.24133440876546078,0.007690937686261796,0.01695569721995355,0.2099871141707329,0.014391597374774317,0.11739525629974018,0.005874012734571351,-0.08200568221626393,-0.45501763626142505,-0.1909461387452458,-0.4792968513090301,0.996407415037282,0.031753894433795664,0.8333333333333334,1.0
0.2,1.0,0.24558895254584726,0.014181555859072532,0.21813670244174532,0.013270694245029437,0.24429240980149894,0.007803518047649012,0.01670858995713297,0.2136792412046579,0.013904578639708079,0.11762595814649303,0.003918250598866973,-0.08301768904557048,-0.4548778740116832,-0.18858920067796822,-0.4821918260047211,0.9947206796930074,0.031774711226850584,0.875,1.0
0.2,1.5,0.24877542908520173,0.01448497524974603,0.22152684497873718,0.01276360885671851,0.24795640755825454,0.005648825260573505,0.01712030395564161,0.21762859131969636,0.01320751228291655,0.11847539785495192,0.004883156242386926,-0.0853591665916822,-0.463840237843215,-0.18732117955022223,-0.47707335366962894,0.9967077877025119,0.02270652403794618,0.9583333333333334,1.0
0.2,2.0,0.24891523361591247,0.015737247628396983,0.220835001525638,0.012342984461877508,0.24728574491165098,0.0066423639769569226,0.019234917196867634,0.21503141934829847,0.013019408366484889,0.12347031770582688,0.006078230181284759,-0.09234468912680449,-0.4699808633700056,-0.18345423256514623,-0.47342998088200944,0.9934536400983159,0.026685244934451832,0.9166666666666666,0.9583333333333334
0.3,0.0,0.21846481200303214,0.016151642403124587,0.18825712288641885,0.01405604671348873,0.22066745570935742,0.0073454206525764495,0.01872959639615256,0.18746568152561283,0.014472177787591986,0.12090246971747103,0.004745033626740263,-0.08337483738606588,-0.4461923252118572,-0.2087398063723622,-0.4793381820604324,1.0100823729282988,0.033622900572539346,0.875,0.75
0.3,0.25,0.22901647516036422,0.015698352673536257,0.19958322181916852,0.013734900667659398,0.22703679444136116,0.008215787048524062,0.01815156246826578,0.19428656526689295,0.014598666706202405,0.12015156193636573,0.004136884832692066,-0.08465021367376298,-0.4448458663916331,-0.20612287921895892,-0.4793140745062985,0.9913557279334736,0.035874218406213444,0.7083333333333334,0.9583333333333334
0.3,0.5,0.2364198569391522,0.015412608687601186,0.2075756149682096,0.013431633283341427,0.23642110913278225,0.0061241359981026346,0.016822908102143333,0.20556020465149785,0.014037996379141058,0.11786326312049085,0.003264901333080291,-0.08280715602032673,-0.44707319103922477,-0.20916221549977798,-0.48432474372725487,1.0000052964824793,0.025903644801201334,0.9583333333333334,1.0
0.3,0.75,0.24163728786258404,0.01524457096595126,0.21324764520077547,0.01314507169585727,0.24195163865298552,0.008179813117158692,0.018072944412469993,0.2102670736921899,0.013611620548325626,0.12109720852371246,0.004789020431157313,-0.08521482673545772,-0.4436360130633661,-0.2068764676182405,-0.4810950381733899,1.0013009200408682,0.03385161780912904,0.8333333333333334,1.0
0.3,1.0,0.2452330004614189,0.015183762345532332,0.2171743539884482,0.012874884127438395,0.24307642711042962,0.006250765201511656,0.01795842237795846,0.21142590448004772,0.013692100252423447,0.12135905700408929,0.005502852373633076,-0.0881721810170976,-0.44284588954776555,-0.20660767114546977,-0.47948646012389434,0.9912060230599815,0.02548908666350169,0.9583333333333334,1.0
0.3,1.5,0.2489080054598951,0.01543592442670597,0.22108557166192166,0.012386509371267469,0.2497282849320753,0.007924498216324537,0.01728113539923375,0.21940181077251708,0.01304533876032446,0.12039427258669037,0.004576787271324479,-0.0873772639245996,-0.4422041064435862,-0.20279617339112144,-0.4798961485485993,1.003295512615854,0.0318370564324873,0.9166666666666666,0.9583333333333334
0.3,2.0,0.24939921115652094,0.016445201256732055,0.22097333336892813,0.011980676530860808,0.2484511532980438,0.0068891104232222874,0.01860379904091899,0.21751282006611414,0.012334534191010669,0.12434821513843419,0.0056081809038608195,-0.09540036398114439,-0.43743091596730005,-0.19795426617124137,-0.47133983580907035,0.9961986332912572,0.027622823629938165,0.9166666666666666,0.9583333333333334
0.4,0.0,0.21845577540981695,0.016566756433969113,0.1881233636918505,0.013765655283997313,0.22257017393809886,0.006973477400376528,0.018698551025647065,0.1893897664811568,0.014481856431294968,0.12117750331936221,0.005235475645315651,-0.08422353203200476,-0.4618382619930523,-0.22230813172944267,-0.4844353096877538,1.018834011234372,0.03192168935471941,0.8333333333333334,0.9583333333333334
0.4,0.25,0.22861971830229477,0.016162569901242357,0.19900023247370857,0.013456915927343847,0.2277370080102127,0.007077687119075171,0.018489269578518437,0.19490964633882404,0.01433809209287023,0.12109869329092814,0.005244646429052825,-0.08505493046406766,-0.45929800023775086,-0.22409779050247555,-0.4850039848774153,0.9961389581850728,0.030958340652474353,0.875,0.9583333333333334
0.4,0.5,0.23599233481821705,0.015928859462366066,0.20689903344701852,0.013164441908832487,0.23053929368683904,0.008576185155688615,0.018819178998130907,0.1980156262921997,0.01370448839650839,0.12254005374640327,0.005829285117796215,-0.08830651828909475,-0.4599902159412254,-0.22679774686669138,-0.48461830893786234,0.9768931430100117,0.03634094794771525,0.7083333333333334,1.0
0.4,0.75,0.24136344933244103,0.015814847671129964,0.21266143337562063,0.012887168285690434,0.2391415785758131,0.009093405549946589,0.018045881216365155,0.2074550828914128,0.01364061446803516,0.12163027168406286,0.003639784016062357,-0.08759951981843019,-0.4506268169537225,-0.22651176741961235,-0.48097213098749064,0.9907945019729659,0.03767515576652958,0.75,1.0
0.4,1.0,0.24520276829893464,0.015798256782117614,0.21677961681751864,0.012624894699298395,0.24748584821117545,0.009398669843505632,0.018313345609663783,0.21558365178651387,0.01358885081499775,0.12313636062925304,0.003994463097008115,-0.08647438139367336,-0.44524079081922396,-0.2229324239609737,-0.4830771879897761,1.0093109875067048,0.038330194674015286,0.8333333333333334,0.9583333333333334
0.4,1.5,0.24944657344143437,0.01607850785860561,0.22121919645977378,0.012148869123054967,0.25113176000929655,0.007936461564589355,0.017604694756082548,0.2207542042486068,0.012772861004607122,0.12209446359252862,0.004598944118281284,-0.08765973055591784,-0.4386733252820516,-0.2239622896258533,-0.47692192495846625,1.0067557014097763,0.031816278151652756,0.9166666666666666,0.9583333333333334
