delta0,memory_gain,memory_decay,weight_phase,weight_centroid,weight_peak
4.0,1.5,0.0,-0.6971464042009562,-0.14051769265337294,0.2773835936654297
-4.0,2.0,0.0,-0.5615541093685291,0.13213577539324478,0.5823839933834816
-3.6666666666666665,2.0,0.0,-0.64990978190017,0.047870079391567635,0.564030781203514
-3.3333333333333335,2.0,0.0,-0.8325458373704373,-0.12275148524375229,0.5072637707709018
-3.0,2.0,0.0,-1.0518829386666269,-0.3192958706778539,0.37331255212869136
-2.666666666666667,2.0,0.0,-1.197636635131507,-0.42772965634976207,0.1157651523494592
-2.3333333333333335,2.0,0.0,-1.1972566918484588,-0.40187987099269407,-0.23110278966053563
-2.0,2.0,0.0,-1.0776910563332294,-0.3155960270784781,-0.5449823914665868
-1.666666666666667,2.0,0.0,-0.9063964603230226,-0.24027577280101575,-0.7538560742755105
-1.3333333333333335,2.0,0.0,-0.7315956264222759,-0.19220856641818984,-0.864797015216389
-1.0,2.0,0.0,-0.5749082173286435,-0.16119891821862262,-0.9125252007234517
-0.666666666666667,2.0,0.0,-0.44129893320496644,-0.13228263105120205,-0.9296800409951047
-0.3333333333333335,2.0,0.0,-0.3288931111646467,-0.08767050475340471,-0.9464706601225719
0.0,2.0,0.0,-0.23418068954032606,0.00901470490860612,-1.0106041968899615
0.33333333333333304,2.0,0.0,-0.17247809488738536,0.007040246127728601,-0.9779295637791395
0.6666666666666661,2.0,0.0,-0.14095241871592656,-0.015289241448049148,-0.938143853991859
1.0,2.0,0.0,-0.14058446726876625,-0.035280857855984386,-0.9189141851812026
1.333333333333333,2.0,0.0,-0.17481002384926983,-0.04642283705982808,-0.9271685020647615
1.666666666666666,2.0,0.0,-0.2524582686690803,-0.051587156918843774,-0.9569085398533914
2.0,2.0,0.0,-0.3878634968370408,-0.07150271578500711,-0.976119936473305
2.333333333333333,2.0,0.0,-0.5873533991769664,-0.1482033791372816,-0.9135252837851736
2.666666666666666,2.0,0.0,-0.8105944943851278,-0.2895849132280141,-0.7133453318527782
3.0,2.0,0.0,-0.9630992279687243,-0.4064396255953399,-0.4285262725230894
3.333333333333333,2.0,0.0,-0.9811337622158466,-0.4123733869933973,-0.1530653953580149
3.666666666666666,2.0,0.0,-0.8863007645805863,-0.31571118464441716,0.0693158487970536
4.0,2.0,0.0,-0.7473761696459273,-0.17688530052226362,0.23264858161438032
-4.0,0.0,0.05,-0.4254518869548051,0.061468860482012194,0.28032497128451045
-3.6666666666666665,0.0,0.05,-0.6268000383780483,-0.12721255465063838,0.23767605066542932
-3.3333333333333335,0.0,0.05,-0.8807535381534811,-0.3694817846116978,0.1448397309416621
-3.0,0.0,0.05,-1.053432911774241,-0.5295062524701083,-0.05383145144880256
-2.666666666666667,0.0,0.05,-1.0119341029887965,-0.4661535043321317,-0.3993031228245215
-2.3333333333333335,0.0,0.05,-0.7808495005923134,-0.2599005266111221,-0.748427910225859
-2.0,0.0,0.05,-0.5178931561868552,-0.1208656853565682,-0.9056954127420862
-1.666666666666667,0.0,0.05,-0.3168486132889802,-0.08509934231127225,-0.8981522661170275
-1.3333333333333335,0.0,0.05,-0.18181840353860407,-0.0881769153424971,-0.8372264563597388
-1.0,0.0,0.05,-0.0918525284819467,-0.0873029852941826,-0.7845573379624191
-0.666666666666667,0.0,0.05,-0.02959931559425399,-0.06460728976179987,-0.7632644739958556
-0.3333333333333335,0.0,0.05,0.013307273811064762,0.001142218478618026,-0.7993700019611862
0.0,0.0,0.05,0.042689761960899124,0.17795937254842073,-0.9681561402823438
0.33333333333333304,0.0,0.05,0.012595305537056864,0.0008503119215164288,-0.8000116548642627
0.6666666666666661,0.0,0.05,-0.030792277797195705,-0.06514904228931569,-0.7643237859315644
1.0,0.0,0.05,-0.09327248672470854,-0.08798554574601128,-0.7858513006494023
1.333333333333333,0.0,0.05,-0.1833060290838092,-0.08890670930032106,-0.8386516487172591
1.666666666666666,0.0,0.05,-0.31835343586758946,-0.08582503074712566,-0.8996599672260828
2.0,0.0,0.05,-0.519438391045762,-0.12158703209563167,-0.9072246521896574
2.333333333333333,0.0,0.05,-0.782483024432996,-0.2606836119789995,-0.7498267827525632
2.666666666666666,0.0,0.05,-1.013632332647067,-0.46705121441502817,-0.40036983257989045
3.0,0.0,0.05,-1.0550159790156857,-0.5303819319859833,-0.05452737227269392
3.333333333333333,0.0,0.05,-0.8820010241452336,-0.3701080044928601,0.14439595114868362
3.666666666666666,0.0,0.05,-0.6276338920604065,-0.12751111899050196,0.23738224055388848
4.0,0.0,0.05,-0.4259553640285086,0.06141350518468427,0.2801264511347177
-4.0,0.25,0.05,-0.4291799859701473,0.05797206559811199,0.30120232001873654
-3.6666666666666665,0.25,0.05,-0.5954829216242639,-0.0966820952572821,0.2645752323023422
-3.3333333333333335,0.25,0.05,-0.8370330792154415,-0.3247733415341618,0.17930363201276087
-3.0,0.25,0.05,-1.0260983470593616,-0.49898931612735276,-0.0024318524596872865
-2.666666666666667,0.25,0.05,-1.0290498402942552,-0.4793219442789941,-0.3229297601366181
-2.3333333333333335,0.25,0.05,-0.8406778186295197,-0.3055297614143644,-0.6723090652941449
-2.0,0.25,0.05,-0.5894570328588337,-0.15772904991585368,-0.8691792309755693
-1.666666666666667,0.25,0.05,-0.37688348292109175,-0.09984153103605979,-0.9012497755128495
