memory_decay,memory_gain,trial,effective_memory_gain,detuning_shift,perturb_noise_sigma_frac,perturb_weight_jitter_sigma,perturb_te_adaptive_total,perturb_te_adaptive_reference_mse,perturb_te_adaptive_family_tension,perturb_te_adaptive_weight_roughness,perturb_rmse,perturb_mse,perturb_bias,perturb_weight_phase_mean,perturb_weight_centroid_mean,perturb_weight_peak_mean,baseline_predict_te_adaptive_total,te_ratio_to_baseline,within_local_band,within_global_band
0.0,0.25,13,0.17477381505740774,0.012630599846553582,0.03,0.035,0.23552920963979537,0.012075317280113452,0.20725467595731964,0.016199216402362313,0.10033255798501305,0.010066622191816007,-0.06240782678649782,-0.4896040565912479,-0.15443258455002545,-0.470183566603835,0.2326227311841148,1.0124943871172254,1,1
0.0,0.25,14,0.28879658400635844,0.04395753867221331,0.03,0.035,0.22847371709429848,0.013646491069213418,0.19863606640004014,0.016191159625044863,0.10577801977566659,0.01118898946766131,-0.07036791371739717,-0.5171320796118954,-0.1684449979794722,-0.47714402211737306,0.2326227311841148,0.982164193203748,1,1
0.0,0.25,15,0.30962552441538443,0.10664669850033587,0.03,0.035,0.22674779814296137,0.017869894034099873,0.1934358876290031,0.015442016479858389,0.11774965688534401,0.013864981696616242,-0.08120880704795141,-0.5169995068675138,-0.16215631141685966,-0.4750213580576315,0.2326227311841148,0.9747448024049568,1,1
0.0,0.25,16,0.02156358254658322,-0.0033183861293529906,0.03,0.035,0.22488944700981606,0.015653530474825175,0.19373187700196767,0.015504039533023255,0.10913499538878589,0.011910447218510319,-0.06324071908887857,-0.48732602178068546,-0.17270857404643686,-0.4670516275380271,0.2326227311841148,0.9667561113441745,1,1
0.0,0.25,17,0.2699250254382655,-0.07348361615303993,0.03,0.035,0.23339949530355825,0.016060721062838745,0.20125217772439702,0.016086596516322445,0.11239473927870526,0.012632577417528133,-0.07205757747613656,-0.5092844513978939,-0.16814143755804709,-0.4751335199741004,0.2326227311841148,1.0033391582821227,1,1
0.0,0.25,18,0.3717259887073249,-0.1338915085508914,0.03,0.035,0.2539676506199225,0.014945777019772661,0.22293848632052485,0.016083387279625064,0.1111294090930177,0.012349745565363284,-0.06387712218924543,-0.4980353294022325,-0.16038211842358457,-0.48922228196687984,0.2326227311841148,1.0917576684237007,0,1
0.0,0.25,19,0.2780878023581413,-0.20091049481218934,0.03,0.035,0.24018383077008656,0.016921986640584523,0.20547612605047447,0.01778571807902758,0.11537420037148069,0.013311206111358576,-0.07480471586197117,-0.49705613859861664,-0.1520236287550345,-0.4734729508322287,0.2326227311841148,1.032503700508904,1,1
0.0,0.25,20,0.0,0.003394099263709157,0.03,0.035,0.22962962887928376,0.01768445022428137,0.19521575628035268,0.016729422374649774,0.11261769218825149,0.01268274459380776,-0.0573243445903493,-0.48854039536287347,-0.16136658635962967,-0.4798391932943724,0.2326227311841148,0.9871332337575296,1,1
0.0,0.25,21,0.39341613346825394,-0.0984813908215539,0.03,0.035,0.23674723755192617,0.015824179737752603,0.20354249256652285,0.017380565247650713,0.1116982380976213,0.012476496394112899,-0.0737380957302726,-0.5127767129267043,-0.1657715862850097,-0.4783699455822054,0.2326227311841148,1.017730452853066,1,1
0.0,0.25,22,0.21316779044931336,-0.1855775859931292,0.03,0.035,0.24367904610034039,0.01525265311746774,0.21088247208889516,0.017543920893977435,0.11116362373852658,0.01235735124268071,-0.06473317402334261,-0.481851697548483,-0.15010117419568725,-0.4821841568872082,0.2326227311841148,1.0475289532538195,1,1
0.0,0.25,23,0.22344896637738992,-0.08354000354621967,0.03,0.035,0.23060877008455413,0.012310725248062416,0.2028160622823962,0.015481982554095514,0.10053652268226247,0.010107592393041076,-0.06590362240456346,-0.5045976983157288,-0.1632773988050422,-0.47322840643720326,0.2326227311841148,0.9913423718769484,1,1
0.0,0.5,0,0.7380962226656015,-0.012640139301821608,0.03,0.035,0.2563406821428828,0.014312606837086739,0.2261875815191052,0.015840493786690862,0.11147507192881981,0.012426691661535549,-0.07520537679005777,-0.5302756082037116,-0.17456239296770687,-0.4781629007118341,0.24143703505754366,1.0617289186051635,0,1
0.0,0.5,1,0.44111359761831537,0.030033414434031555,0.03,0.035,0.245197674217247,0.013808533533506117,0.2159572755363353,0.015431865147405611,0.10717411825420343,0.011486291623565981,-0.06642092112675402,-0.5142668259083714,-0.16274595271565825,-0.4826476710642508,0.24143703505754366,1.0155760658625013,1,1
0.0,0.5,2,0.20282559673648648,0.07182544127685685,0.03,0.035,0.22613139309697236,0.013553479833158445,0.19729084274724484,0.015287070516569022,0.10548221307225822,0.011126497274621283,-0.07274524060654289,-0.51567728278335,-0.16482184758639062,-0.4869694252207287,0.24143703505754366,0.9366060722336017,0,1
